id,customer_message,historical_reply,labeled_intent,should_escalate,reply_quality_1to5,notes
137,I know my battery must’ve been swollen/damaged but one hour of battery life? NAH Fix yuh iOS 11 issues quick quick 👀,@357605 We want to help. Meet us in DM and we'll work towards a solution together. __url__,device_issue,True,2.0,Swollen/damaged battery with severe battery drain.
138,Anyone else upgraded to the latest software update? Draining iPhone6 battery like nothing I’ve ever known! Anyone else or just me?,@418479 Let's look into this together. Send us a DM by clicking on the link below. We'll go from there. __url__,software_update,False,2.0,Battery drain after ios update
139,"I live on campus at a University so it's the same network everywhere. But yes, it persists at different locations.",@681967 Which device are you using?,device_issue,False,2.0,Network isuue in different locations
140,After the recent update to the iphone6 my auto brightness option is gone. I need it off. It’s ruining my screen. 😔,@201327 We'll be happy to help! Please look for our response to your DM shortly.,device_issue,True,2.0,Asking to autobrightness function
141,since installing new iOS updates (currently on 11.0.3) I cannot play music through USB in my “communication error”,@312396 We'd like to help! Send us a DM with the device you are using and we'll pick up from there. __url__,software_update,True,3.0,After installing IOS update can't able to play music through USB.
142,"Right, iOS 11 slows down my phone 6s and drains battery . High sierra simply shuts down the Mac Pro ! Not cool NOT cool #fail","@619017 We want your devices working properly after an update. DM us with details, and we'll work together to find a solution: __url__",complaint_escalation,True,2.0,Angry complaint about iOS 11 and High Sierra issues.
143,Has anyone else had several dropped calls after the #iOS11.0.3 update? Also a dead battery and constant freezing? #appleupdate 😡,@405239 We can look into these issues for you. Send us a DM with more details about what you are experiencing to get started. __url__,software_update,False,2.0,Multiple issues after iOS 11.0.3 update.
144,"fully charge iPod, remove from power source and the battery drops. iPod then just does this. __url__",@578641 We'll be happy to look into this with you so you can get back to enjoying your iPod. DM us the iOS version installed here: __url__,device_issue,False,2.0,iPod battery drops immediately after unplugging.
145,just curious how to come back from below screen 🤔🤔 __url__,@192520 Send us a DM and let us know more details please. We're ready to help. __url__,general_inquiry,False,2.0,Asking how to return from a screen.
146,So disappointed in 3 day old phone faulty &amp; they refuse to do an out the box replacement!! This is a R13000 phone! So angry!,@609316 We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. __url__,warranty_repair,True,2.0,Faulty new phone with replacement dispute.
147,"Dear , i received this email. Id this for real or is this a scam? In the email, it has a link to ""verify your Apple ID"" HELP! __url__",@574281 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. __url__,account_access,True,2.0,Asking is this mail is real or scam.
148,"Currently France, tomorrow back in the US.",@346642 Let's go ahead and meet in DM and we'll continue there. __url__,out_of_scope,False,1.0,Fragment
149,My iPhone 6 is so slow now!,"@482878 We’d love to help. To start, please send us a DM letting us know the exact iOS version you have installed. __url__",device_issue,False,2.0,Iphone 6 is slow .
150,I wanna thank and for creating iOS 11 to brick all iPhones made before the 8. Seriously my shit is unusable,"@385017 What kind of issues are you having with the iPhone? Let us know, we'd love to help.",complaint_escalation,True,2.0,Angry complaint about iOS 11 making older iPhones unusable.
151,"Worked fine before updated to latest iOS yesterday. Phone is sat not being touched and Siri command is coming up. It’s really in its own world. Garbage after every update, every time","@272370 Just to confirm, are you still experiencing issues without any headphones being plugged in, or the phone being connected to any other devices?",software_update,False,2.0,Siri activates unexpectedly after iOS update.
152,"Only in the App Store, regardless of being connected to WiFi or using my data.",@409530 Have you tried restarting your device and checking again? Here’s how: __url__,device_issue,False,3.0,App Store issue on both Wi-Fi and mobile data.
153,TV4 x 2. 1 accepts .com address for iCloud and 1 switches to .com address once I log in. shows HOME and doesnt,"@196310 Let's take a look at this. The @798 / @1113 / @1112 addresses are interchangeable. That is, you can use any one of them.",account_access,False,2.0,iCloud account address issue on Apple TV.
154,"this happens to me a lot after upgrading to ios11, input area floats __url__",@543035 Let's make sure we've updated to iOS 11.0.3 and can you let us know which apps this is appearing in? Feel free to DM us. __url__,software_update,False,2.0,Floating input area after iOS 11 update.
155,"well, it's just simply not working. it freezes all the time now and none of my apps are really working properly.",@531465 Thanks. Which iPhone and specific iOS version are you using?,device_issue,False,2.0,Phone freezing and apps not working.
156,Did anyone face this issue so far with iPhone 8 - Froze completely not able to shutdown nothing at all?? #frozeniphone8,"@160233 We can help out. Send us a DM with what iOS is on your iPhone, and we'll go from there. __url__",device_issue,True,3.0,iPhone 8 completely frozen and cannot shut down.
157,"Wireless are working, wired ones aren't working. I tested the wired one sin my phone, and they worked.","@312171 Go ahead and turn off Bluetooth on your iPad. Restart, and plug in your wired headphones. Send a DM if it continues. __url__",device_issue,False,2.0,Wired headphone connection issue.
158,WHAT IS THIS??? __url__,@596023 Thanks for reaching out. We have a workaround for this here: __url__ DM us if you still need help. __url__,out_of_scope,False,1.0,Fragment
159,on iOS 11.02 iPhone 6 Plus restored to factory settings still have white screen &amp; lag when opening apps. Any help appreciated __url__,@162144 Let's figure this out together. Which apps does this happen with? Did you restore it using iTunes or through Settings?,device_issue,False,3.0,White screen and app lag after factory reset.
160,my battery won’t last after the upgrade. Im not the only one having this issue. Please do something!,@371974 We've received your DM and will continue to assist you there.,device_issue,False,2.0,Battery drain after iOS upgrade.
161,"Around 50 tracks I can't download from iCloud, around 30 is just wrong. Nice work, ! Can someone from help?",@383819 We're here to help you get back to your music. Which device are you using with Apple Music?,device_issue,False,3.0,Unable to download music tracks from iCloud.
162,11.0.3 on iPhone 6S. Been installed more or less since update was available to try to fix poor battery life after the main 11 upgrade.,@123507 Got it. Let's move to DM where we can dig in. __url__,software_update,True,2.0,Battery drain after ios update.
163,it’s back to not working again. it’s stuck on headphone mode 😩,@272895 We'd like to look into this further with you. Could you please send us a DM so we can continue? __url__,device_issue,False,2.0,Device stuck in headphone mode.
164,Seriously with the boxes. Every time somebody says “I️” the boxes pop up... fix this shit,@591154 We appreciate you reaching out. We can look into this with you. Send us a DM and let us know which device you're using. __url__,software_update,True,4.0,Keyboard/autocorrect issue after update.
165,This is how the home screen looks now without the bar underneath! :( #ios need fixes ! __url__,@394435 We're here to help! What happens when you restart your iPhone? Let us know.,software_update,False,3.0,Home screen bar missing after iOS update.
166,when are you guys going to fix all the glitching in iPhone 7 pluses now? Because all it does it glitch since the update. 😡,@532653 We'll be happy to look into this. DM us and we'll get started. __url__,software_update,False,4.0,After update facing glitches in iphone 7 plus.
167,"Camera still slow taking pics, messaging app still needs work, phone app still needs work lots of bugs there. Using an iphone 6.",@416986 We'd like to continue our conversation. DM us. __url__,device_issue,False,2.0,Multiple app and camera issues on iPhone 6.
168,"No. It is just happening. I just left and turned off WiFi to save battery. I got home and now it is on and connected to my home WiFi. That is handy. But, i would prefer to control it.",@692582 Are you turning Wi-Fi off from the control center or are you navigating to Settings &gt; Wi-Fi?,software_update,False,3.0,Wi-Fi turns back on after being disabled.
169,The battery is at 8% by 5:30pm and i disconnect it by 7:00am and i do not use it much throughout the day. Facebook uses the most.,@530205 OK the battery lasts 10 hours with no use. What percentage is Facebook using?,device_issue,False,2.0,Severe battery drain; Facebook uses most battery
170,Hey!i have got to ask something. I cant sent pics anymore on my iPhone 6s and i post pics anymore on insta Or snap Or whatever when i try to send a pic on whatsapp my phone doesnt do anything,@286423 We'd like to look into this with you. Let's talk in DM. __url__,device_issue,False,2.0,Unable to send or post pictures in multiple apps.
171,since downloading latest iPhone update.. haven’t been able to download any apps or update apps.. constant freeze...,@439502 We certainly don't want that happening. Please send us a DM to continue. __url__,software_update,False,2.0,App download/update failure and freezing after update.
172,Hahaha bless your soul 😂,@524836 We're here for you! Send us a DM and we'll take a closer look at this issue together. __url__,out_of_scope,False,1.0,Fragment
173,WTF I can't downgrade my iPad to iOS 10? Half my apps are slow as hell with the new update. How you gonna roll out half baked shit?,@566579 It's not our intent for any issues to happen after updating the iOS. Select the following link to join us in a DM. __url__,complaint_escalation,True,2.0,complaint about slow apps after iOS update.
174,I just downloaded the High Sierra and this just destroyed my Mac book Pro.,"@726741 We know how important your Mac is to you, and we'll do all we can to help. Describe for us what's happening in DM, and we'll get started: __url__",software_update,False,2.0,MacBook Pro problems after High Sierra update.
175,Well they need to release the 4th and fix this mess... can’t be having these other phones outshine us...,@505359 Here’s what you can do to work around the issue until it’s fixed in a future software update: __url__,complaint_escalation,True,2.0,Complaint demanding another update to fix issues.
176,Really tired of screwing up iPhones when the new ones come out. I just got this #iPhone7Plus last summer and it's fucking up already🤔,@380014 Let's see how we can get it your newer iPhone working right. Is iOS 11.0.3 the version installed on it? Any steps tried?,complaint_escalation,True,3.0,complaint about iPhone 7 Plus problems.
177,7 plus rose gold,@664549 Thanks for the info! Send us a DM. We'll work with you on this further from there. __url__,out_of_scope,False,1.0,Fragment
178,Please fix this stupid autocorrect error that keeps changing “ I “ to “ I️ “ . I️ can’t afford an iPhone X 🙄🙄🙄🙄,@509398 We’re here for you. Here’s a work around for the issue until it’s fixed in a future software update: __url__,software_update,False,4.0,Autocorrect changes “I” to “I️”.
179,Can I get iPhone X at MRP only as all ur store r selling in black n overcharging Rs.15000 i.e more than MRP! kindly look into dis as ur store's r doing fraudulent activities openly. ur unhappy customer,@710045 Thanks for bringing this to our attention. We'd like to look into this further. Join us in DM here: __url__,complaint_escalation,True,2.0,Complaint about iPhone X overcharging above MRP.
180,I haven’t installed the 11.1.1 yet because turns out my iPhone stopped sending me notifications about new updates.,@272241 Are you manually able to check for and install the iOS update from Settings &gt; General &gt; Software Update?,software_update,False,2.0,iOS update notifications stopped appearing.
181,iPhone 7 Plus 128 gb,@298547 Have you updated to 11.0.2 yet? __url__ Send us a DM and let us know. __url__,out_of_scope,False,1.0,Only mobile details given
182,this is not okay. How and why? I’ve had to restart it 3 times to “fix” this. Like for real? __url__,@745791 We'll be happy to assist as best we can. DM us and we'll continue from there.,device_issue,False,2.0,Repeated issue requiring multiple restarts.
183,fix it pls. 🗣 __url__,@758015 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. __url__,out_of_scope,False,1.0,Didnt mention what is the issue
184,"I have an Airplay problem, any ideas? (whole thread) __url__","@230266 We're happy to assist you. Can you DM us your complete software version from Settings &gt; General &gt; About, next to version? __url__",general_inquiry,False,2.0,General AirPlay problem; needs more details.
185,THIS LETTER SHIT RUINING MY DAY WHAT THE FUCK YO,@501766 Here’s what you can do to work around the issue until it’s fixed in a future software update: __url__,complaint_escalation,True,2.0,Angry complaint about the “I” keyboard bug.
186,No i dont get any error just the wheel its spining. Check the picture below. __url__,@578806 Does this also happen when connected to Wi-Fi? Have you restarted your device at all? Let's move to DM for a closer look. __url__,device_issue,False,2.0,Device stuck on spinning loading wheel.
187,Yo why did my whole iMusic library disappear with the new update?,@536668 Hey there. We're here for you. DM us and we'd be happy to help with getting your music library back on your device. __url__,software_update,False,2.0,Music library disappeared after iOS update.
188,"wow, good job on the new update! MY PHONE KEEPS FREEZING AND MAKES THE APPS CRASH",@312735 We can help with that. Go ahead and join us in DM so we can take a further look into your issue: __url__,software_update,False,2.0,Phone freezing and app crashes after update.
189,"If you browse the App Store for a certain time, and try to watch video previews, then the video turns black, it’s happening since iOS 11! It needs to be fixed. __url__",@221217 Thanks for reaching out about this. DM us anything you've tried already on your own to resolve this. We'll continue there. __url__,software_update,False,2.0,App Store video previews turn black after iOS 11.
190,"Just spoke to Dalton with Apple Support, and he was so helpful. I meant to tell his supervisor how great he was, but forgot. How do I find him?",@652391 Thanks for reaching out! DM us and let us know more about your interaction with Dalton. We'd be glad to take down your feedback from there! __url__,general_inquiry,False,2,Asking how to provide feedback about Apple Support.
191,my phone died while on 30%.. you got some explaining to do,"@817857 We're happy to help with this. In DM, please let us know how often this has happened and which iOS version you're using. __url__",,,,
192,"Hi! Just finished migrating to my new iPhone Ⅹ, and Messages appears to crash every time I try to open it. Any suggestions?",@12504 Congratulations on your new iPhone X! We can definitely help. Are you seeing any error messages come up when this happens?,,,,
193,why can’t I️ say I️ without this stupid ass box poppin up,"@669392 We want to help you. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info about this update, check out: __url__",,,,
194,I want to video in 1080p not 4K or 720? Can't find the setting on my iPhone to choose the one I need? 🤔,@379406 You can change the record settings for the camera app by going to Settings &gt; Camera &gt; Record Video.,,,,
195,How do I stop that lil vibrate when I refresh my tl??? help me,"@710067 We're glad to help. It sounds like you're describing the haptic feedback vibration. Which device and version of iOS are you using? Would you like to turn off all such feedback system-wide, or only in a specific app?",,,,
196,"No I ordered an Apple Watch for my wife's birthday.. two months later, I still don't have it.",@488878 Let's help get you into the right hands to get this resolved. Please reach out to us via: __url__,,,,
197,"So I update my phone yesterday and the touch screen isn’t working properly, I’ve restarted it numerous times and it’s still not ok ☹️",@165827 Thanks for reaching out. Let's look into this issue together. DM us with which iPhone you are using and we'll go from there. __url__,,,,
198,"I’ve never had any problems with my phone until I updated to iOS 11. , get it together.",@159620 We'd be happy to assist. Let us know in DM the issues you're experiencing and we'll continue from there. __url__,,,,
199,"Meu iPhone se está inutilizável, cheio de bugs após atualização para 11.02 #iphone #ios11","@335483 Since our Twitter support is available in English, get help at __url__ or join __url__",,,,
